essay_id,depth_mean,depth_max,depth_list,breadth_mean,breadth_max,breadth_list,total_nodes_mean,total_nodes_max,total_nodes_list,max_branching_factor_mean,max_branching_factor_max,max_branching_factor_list,CEFR
AR_gpt-4o_10_130_2594,9.533333333333333,13,"8,12,11,8,11,5,8,7,11,13,11,8,12,9,9",5.333333333333333,9,"5,3,5,6,5,5,7,5,4,9,7,4,2,5,8",22.066666666666666,34,"21,21,26,18,20,12,24,17,23,34,22,20,21,19,33",5.133333333333334,9,"5,3,4,6,5,5,7,4,4,9,7,4,2,5,7",C2
AR_gpt-4o_10_130_2595,10.916666666666666,17,"9,10,10,17,9,11,15,9,14,8,8,11",5.583333333333333,9,"5,6,7,5,9,5,7,4,5,4,5,5",27.5,40,"24,35,25,31,29,25,35,20,40,16,22,28",5.0,9,"5,5,7,5,9,3,7,3,4,4,3,5",C2
AR_gpt-4o_10_130_2596,11.133333333333333,17,"12,14,13,17,9,14,10,9,12,9,13,11,6,8,10",5.733333333333333,8,"6,6,7,7,5,4,6,8,5,5,5,5,5,7,5",26.533333333333335,44,"24,35,44,37,17,27,28,20,32,22,26,23,17,20,26",5.666666666666667,8,"6,6,7,7,5,4,6,8,4,5,5,5,5,7,5",C2
AR_gpt-4o_10_130_2597,11.0,14,"11,12,7,11,13,11,10,11,10,11,14,9,13",5.846153846153846,7,"6,5,7,6,6,7,6,6,6,4,7,5,5",28.384615384615383,37,"22,32,30,30,32,30,21,34,28,17,37,19,37",5.384615384615385,7,"6,5,7,5,4,7,6,3,6,4,7,5,5",C2
AR_gpt-4o_10_130_2598,9.666666666666666,14,"8,9,6,9,11,12,9,8,14,6,11,14,10,10,8",5.066666666666666,8,"6,5,5,4,4,8,5,4,5,6,7,5,4,5,3",21.266666666666666,39,"17,21,14,16,23,39,18,14,29,14,29,23,20,29,13",4.933333333333334,8,"6,5,5,4,3,8,5,4,4,6,7,5,4,5,3",C2
AR_gpt-4o_10_130_2599,10.235294117647058,18,"8,14,10,9,10,3,13,11,8,4,11,10,9,13,9,18,14",5.529411764705882,8,"6,5,7,4,7,5,7,6,7,5,2,7,8,4,5,3,6",22.529411764705884,35,"23,35,26,18,22,8,27,23,22,9,16,33,22,28,16,24,31",5.529411764705882,8,"6,5,7,4,7,5,7,6,7,5,2,7,8,4,5,3,6",C2
AR_gpt-4o_10_130_2600,8.866666666666667,16,"8,10,9,8,10,11,5,8,8,6,7,9,8,10,16",5.4,7,"6,6,4,7,5,4,6,6,5,6,6,5,5,6,4",21.333333333333332,31,"17,27,21,23,22,20,14,22,24,14,18,28,16,23,31",5.066666666666666,7,"6,6,4,7,5,4,6,6,3,6,6,3,5,6,3",C2
AR_gpt-4o_10_131_2601,9.352941176470589,14,"9,10,9,11,8,7,8,10,9,8,11,5,12,9,9,10,14",5.0588235294117645,8,"3,7,3,6,5,8,5,6,4,5,5,4,6,5,4,5,5",20.88235294117647,30,"16,30,14,28,19,23,18,24,20,23,21,9,26,18,15,23,28",4.705882352941177,8,"3,6,3,4,5,8,5,6,4,5,5,4,3,5,4,5,5",C1
AR_gpt-4o_10_131_2602,9.4,14,"10,9,14,10,7,8,9,10,8,9,8,7,9,14,9",4.8,6,"5,5,4,5,6,4,5,6,4,5,5,5,3,5,5",21.066666666666666,29,"28,22,29,22,18,16,23,24,18,24,15,18,13,27,19",4.733333333333333,6,"5,5,3,5,6,4,5,6,4,5,5,5,3,5,5",C1
AR_gpt-4o_10_131_2603,9.222222222222221,13,"9,13,11,7,7,11,8,9,9,9,7,8,7,10,12,9,10,10",5.0,10,"3,10,4,5,7,5,6,4,4,5,4,4,4,6,4,4,6,5",19.72222222222222,36,"14,36,20,16,22,24,15,18,17,16,21,14,10,25,21,16,27,23",4.777777777777778,7,"3,6,4,5,7,5,6,4,4,5,4,4,4,6,4,4,6,5",C1
AR_gpt-4o_10_131_2604,9.0625,12,"9,12,7,9,11,8,7,11,11,10,9,7,7,9,8,10",5.125,8,"5,8,3,6,5,4,7,5,5,3,4,4,5,6,7,5",22.625,40,"26,40,11,21,29,18,19,33,21,19,18,17,13,19,27,31",5.0625,8,"5,8,3,6,4,4,7,5,5,3,4,4,5,6,7,5",C1
AR_gpt-4o_10_131_2605,9.733333333333333,15,"14,14,6,6,5,10,9,6,11,7,9,11,12,15,11",4.866666666666666,7,"6,7,4,5,4,4,4,4,5,5,5,5,5,5,5",23.333333333333332,46,"25,46,15,17,13,21,20,16,29,15,26,24,29,30,24",4.533333333333333,6,"6,5,4,4,4,4,4,4,4,5,5,5,4,5,5",C1
AR_gpt-4o_10_131_2606,9.058823529411764,16,"9,11,16,7,10,9,9,7,11,11,5,9,7,9,8,7,9",5.0588235294117645,7,"3,6,4,5,5,4,7,5,6,5,5,4,5,7,4,4,7",20.58823529411765,33,"15,23,32,11,24,16,27,11,28,33,9,20,18,24,15,21,23",4.882352941176471,7,"3,6,4,5,5,4,7,5,6,3,5,4,5,7,4,3,7",C1
AR_gpt-4o_10_131_2607,10.5,14,"9,12,7,7,14,10,14,13,7,8,13,11,8,14",4.642857142857143,7,"5,6,5,4,7,4,3,5,5,5,4,4,4,4",24.0,36,"26,31,25,16,36,24,26,28,16,18,25,22,16,27",4.357142857142857,7,"5,4,5,4,7,4,2,5,5,5,4,4,4,3",C1
AR_gpt-4o_10_131_2608,9.8,14,"9,12,10,7,8,10,8,12,14,8,9,10,6,11,13",5.333333333333333,8,"3,6,8,3,7,7,8,4,5,4,7,3,4,6,5",22.2,37,"15,25,32,10,21,37,19,23,28,13,25,15,12,30,28",5.133333333333334,8,"3,6,6,3,7,6,8,4,5,4,7,3,4,6,5",C1
AR_gpt-4o_10_131_2609,9.5,13,"9,9,12,9,10,10,7,11,8,8,13,9,11,9,9,10,8,9",5.611111111111111,8,"3,6,6,6,6,7,5,6,8,5,6,7,5,6,5,4,5,5",24.0,41,"16,19,34,18,30,33,14,28,32,16,41,25,24,24,18,19,18,23",5.555555555555555,8,"3,6,5,6,6,7,5,6,8,5,6,7,5,6,5,4,5,5",C1
AR_gpt-4o_10_131_2610,10.294117647058824,14,"14,14,8,8,10,10,9,11,8,12,9,7,10,7,13,12,13",5.588235294117647,9,"3,5,5,5,9,6,4,8,4,6,6,6,5,6,4,5,8",23.0,38,"21,38,13,18,26,19,18,34,15,31,20,13,25,20,24,22,34",5.529411764705882,9,"3,5,5,5,9,6,4,8,4,6,6,6,5,6,4,5,7",C1
AR_gpt-4o_10_131_2611,9.2,12,"10,11,10,10,6,11,12,7,11,11,6,10,8,9,12,6,8,8,11,7",5.1,8,"3,7,6,4,7,3,6,6,4,8,7,5,4,5,4,6,4,3,3,7",21.4,35,"23,35,19,19,17,21,33,16,21,31,16,28,19,18,22,15,14,11,22,28",4.95,8,"3,6,6,4,7,3,5,6,3,8,7,5,4,5,4,6,4,3,3,7",C2
AR_gpt-4o_10_131_2612,8.68421052631579,12,"9,11,10,9,7,7,7,8,10,11,7,7,7,6,12,8,8,9,12",4.947368421052632,9,"3,6,5,5,5,5,3,5,6,9,4,6,3,6,5,4,4,5,5",20.05263157894737,30,"15,30,24,21,22,18,11,14,27,28,12,22,13,13,30,19,16,22,24",4.7368421052631575,9,"3,6,5,5,3,5,3,5,6,9,4,6,3,6,3,4,4,5,5",C2
AR_gpt-4o_10_131_2613,8.875,13,"13,10,7,6,11,6,11,9,9,7,8,9,9,11,7,9",5.25,8,"6,4,8,5,6,6,5,6,4,4,4,5,6,5,5,5",22.75,36,"32,23,26,18,30,15,23,24,16,14,18,17,36,28,25,19",4.9375,6,"6,4,5,5,6,6,5,6,4,4,4,5,5,4,5,5",C2
AR_gpt-4o_10_131_2614,10.38888888888889,17,"9,11,10,8,11,10,10,11,11,8,12,10,14,7,8,11,9,17",5.222222222222222,8,"3,5,7,8,4,5,4,5,5,5,5,5,4,6,5,5,5,8",24.944444444444443,43,"14,22,33,32,24,32,26,24,24,15,28,24,27,24,19,19,19,43",4.777777777777778,7,"3,5,6,6,4,4,4,3,5,5,5,5,4,5,5,5,5,7",C2
AR_gpt-4o_10_131_2615,9.764705882352942,16,"15,10,11,8,10,7,10,8,5,13,9,8,6,10,9,11,16",5.411764705882353,12,"3,12,4,6,6,3,7,6,6,4,7,6,3,6,4,4,5",23.41176470588235,39,"24,38,19,25,21,12,29,21,16,26,21,21,14,33,20,19,39",4.882352941176471,7,"3,6,4,6,6,3,5,6,6,4,7,6,3,5,4,4,5",C2
AR_gpt-4o_10_131_2616,9.733333333333333,15,"9,10,11,9,10,12,7,10,15,8,6,10,10,10,9",5.2,11,"3,7,11,4,6,4,4,6,3,6,4,5,6,5,4",25.0,52,"14,27,52,18,29,26,16,25,29,17,14,28,27,29,24",4.6,7,"3,7,6,4,4,4,4,6,3,6,4,5,5,5,3",C2
AR_gpt-4o_10_131_2617,9.846153846153847,13,"12,13,11,7,10,7,6,10,12,10,10,8,12",5.3076923076923075,8,"6,8,5,5,4,5,6,4,6,4,5,7,4",24.0,45,"29,45,22,20,24,14,18,21,32,20,19,23,25",4.769230769230769,7,"6,6,5,3,3,5,6,4,6,3,5,7,3",C2
AR_gpt-4o_10_131_2618,8.5,12,"9,10,9,9,8,6,7,7,9,6,6,9,10,12,8,11",5.0625,7,"3,6,6,4,3,7,5,6,5,5,6,5,5,5,5,5",21.25,29,"16,22,28,21,15,16,24,17,29,20,14,26,21,25,19,27",4.875,7,"3,6,4,4,3,7,5,6,5,5,6,5,5,4,5,5",C2
AR_gpt-4o_10_131_2619,11.642857142857142,16,"12,10,9,11,10,15,10,14,16,9,12,14,12,9",5.571428571428571,8,"5,5,4,8,7,5,4,4,7,6,4,6,7,6",28.142857142857142,42,"33,27,18,32,33,25,25,30,42,27,22,29,25,26",5.142857142857143,8,"5,4,3,8,6,5,3,4,7,6,4,6,7,4",C2
AR_gpt-4o_10_131_2620,9.928571428571429,14,"11,9,13,7,13,11,8,8,10,12,8,6,9,14",6.0,9,"3,6,9,5,9,8,5,5,5,5,8,5,6,5",27.642857142857142,41,"19,26,36,21,38,40,15,26,27,27,29,13,29,41",5.357142857142857,9,"3,6,6,5,9,5,5,5,5,4,8,5,6,3",C2
AR_gpt-4o_10_21_401,3.3333333333333335,7,"4,3,3,3,3,2,3,3,4,3,2,3,3,4,7",3.2666666666666666,4,"3,3,3,4,3,4,4,4,3,4,3,3,2,2,4",5.933333333333334,12,"7,5,5,7,6,5,6,6,6,6,4,5,4,5,12",3.2666666666666666,4,"3,3,3,4,3,4,4,4,3,4,3,3,2,2,4",A1
AR_gpt-4o_10_21_402,3.235294117647059,5,"4,3,4,3,3,2,3,5,5,2,4,3,3,3,3,2,3",3.5294117647058822,4,"3,4,3,3,4,4,4,4,3,4,3,4,3,4,3,3,4",6.176470588235294,10,"8,6,6,5,7,5,6,10,7,5,6,7,5,6,5,4,7",3.5294117647058822,4,"3,4,3,3,4,4,4,4,3,4,3,4,3,4,3,3,4",A1
AR_gpt-4o_10_21_403,4.352941176470588,8,"4,4,3,3,6,3,3,5,4,2,6,3,8,5,4,6,5",4.176470588235294,6,"3,3,4,5,4,4,5,4,4,4,4,5,5,6,3,4,4",9.176470588235293,15,"7,6,7,8,12,7,7,9,10,5,12,8,15,15,8,10,10",4.176470588235294,6,"3,3,4,5,4,4,5,4,4,4,4,5,5,6,3,4,4",A1
AR_gpt-4o_10_21_404,4.045454545454546,8,"4,3,8,3,3,4,2,4,3,5,5,3,3,5,3,3,4,4,5,4,5,6",3.772727272727273,5,"3,3,3,5,4,5,4,4,4,4,4,4,2,5,4,3,3,4,3,3,4,5",7.590909090909091,12,"8,6,10,8,6,11,5,8,6,8,8,6,4,10,6,5,7,9,8,6,10,12",3.772727272727273,5,"3,3,3,5,4,5,4,4,4,4,4,4,2,5,4,3,3,4,3,3,4,5",A1
AR_gpt-4o_10_21_405,3.857142857142857,7,"4,3,4,3,2,3,3,3,6,5,4,2,5,7",4.0,6,"3,4,4,4,4,3,4,4,4,4,4,4,4,6",7.571428571428571,14,"7,6,8,7,5,5,6,6,10,8,8,5,11,14",4.0,6,"3,4,4,4,4,3,4,4,4,4,4,4,4,6",A1
AR_gpt-4o_10_21_406,3.857142857142857,7,"3,3,3,3,3,4,2,4,5,4,4,4,5,7",3.5,5,"3,4,3,4,3,4,3,3,4,3,2,5,4,4",7.428571428571429,12,"7,7,6,7,5,8,4,7,10,6,5,11,9,12",3.5,5,"3,4,3,4,3,4,3,3,4,3,2,5,4,4",A1
AR_gpt-4o_10_21_407,4.117647058823529,8,"4,3,8,3,2,3,4,4,5,5,4,5,2,5,3,7,3",3.764705882352941,5,"3,3,3,4,4,4,3,4,3,4,4,4,4,4,5,4,4",7.647058823529412,11,"7,5,10,7,5,8,6,8,7,10,8,10,5,9,8,11,6",3.764705882352941,5,"3,3,3,4,4,4,3,4,3,4,4,4,4,4,5,4,4",A1
AR_gpt-4o_10_21_408,4.380952380952381,9,"4,2,6,6,3,3,4,5,6,3,4,4,5,3,3,9,4,5,5,5,3",3.857142857142857,6,"3,3,4,4,5,4,3,6,4,4,4,3,4,2,5,5,3,4,4,3,4",8.142857142857142,13,"8,4,11,11,9,6,6,13,9,6,8,6,10,4,7,13,7,10,9,8,6",3.857142857142857,6,"3,3,4,4,5,4,3,6,4,4,4,3,4,2,5,5,3,4,4,3,4",A1
AR_gpt-4o_10_21_409,4.066666666666666,7,"4,3,3,4,3,5,4,4,4,3,7,4,5,5,3",3.3333333333333335,5,"3,4,4,2,3,2,4,5,4,4,4,2,3,2,4",7.4,12,"8,6,7,7,5,7,8,9,8,6,12,7,8,6,7",3.3333333333333335,5,"3,4,4,2,3,2,4,5,4,4,4,2,3,2,4",A1
AR_gpt-4o_10_21_410,4.142857142857143,7,"4,4,3,3,4,5,4,4,4,3,3,7,4,6",3.4285714285714284,5,"3,3,3,4,2,4,4,5,4,4,4,3,3,2",7.571428571428571,11,"7,6,6,7,7,10,7,11,8,6,8,10,6,7",3.4285714285714284,5,"3,3,3,4,2,4,4,5,4,4,4,3,3,2",A1
AR_gpt-4o_10_21_411,5.6875,8,"4,4,6,4,5,6,6,5,7,4,7,4,7,6,8,8",4.8125,7,"3,3,5,5,5,4,5,5,6,5,5,6,4,5,4,7",12.4375,17,"7,6,12,11,12,11,11,11,16,11,17,14,15,13,15,17",4.75,7,"3,3,5,5,5,4,5,5,6,5,5,6,4,5,3,7",A2
AR_gpt-4o_10_21_412,5.761904761904762,10,"4,4,10,5,4,5,2,7,7,7,8,4,7,8,4,3,5,9,5,5,8",4.0476190476190474,7,"3,3,3,3,3,4,4,2,4,5,5,5,4,5,4,5,4,4,5,3,7",10.80952380952381,18,"7,6,14,10,9,10,5,8,10,16,17,9,11,15,7,7,11,17,11,9,18",4.0476190476190474,7,"3,3,3,3,3,4,4,2,4,5,5,5,4,5,4,5,4,4,5,3,7",A2
AR_gpt-4o_10_21_413,5.266666666666667,9,"4,4,4,3,5,3,5,4,5,9,6,7,7,6,7",3.7333333333333334,5,"3,3,3,4,2,4,5,3,4,4,5,3,4,5,4",9.533333333333333,15,"7,6,6,7,8,8,10,6,9,15,15,9,11,13,13",3.7333333333333334,5,"3,3,3,4,2,4,5,3,4,4,5,3,4,5,4",A2
AR_gpt-4o_10_21_414,5.590909090909091,10,"4,5,6,3,7,6,5,5,6,3,9,3,10,6,5,5,4,6,4,9,6,6",4.590909090909091,7,"3,4,5,7,6,5,5,5,7,4,6,4,3,3,4,5,2,5,4,6,3,5",11.909090909090908,20,"7,9,14,11,15,15,12,13,20,6,20,9,13,11,10,12,5,12,9,18,9,12",4.590909090909091,7,"3,4,5,7,6,5,5,5,7,4,6,4,3,3,4,5,2,5,4,6,3,5",A2
AR_gpt-4o_10_21_415,5.733333333333333,9,"4,4,3,5,7,8,6,7,5,3,7,6,9,6,6",4.266666666666667,6,"3,3,4,3,5,5,3,6,4,4,5,3,5,5,6",11.333333333333334,18,"7,6,7,10,15,16,10,18,11,6,18,9,14,10,13",4.266666666666667,6,"3,3,4,3,5,5,3,6,4,4,5,3,5,5,6",A2
AR_gpt-4o_10_21_416,5.625,8,"4,4,6,5,4,4,6,7,5,5,5,8,6,8,6,7",3.875,6,"3,3,4,3,6,3,6,3,5,4,4,2,5,5,3,3",10.5,19,"7,6,11,9,11,8,19,10,11,9,8,10,13,16,10,10",3.875,6,"3,3,4,3,6,3,6,3,5,4,4,2,5,5,3,3",A2
AR_gpt-4o_10_21_417,4.857142857142857,7,"4,4,3,7,3,7,6,5,5,4,4,4,6,6,5,7,3,3,3,6,7",3.9047619047619047,7,"3,3,4,3,5,3,7,3,4,4,2,5,2,5,4,4,4,4,4,5,4",10.095238095238095,17,"8,6,7,10,7,15,17,9,10,8,5,11,9,17,9,10,6,8,8,15,17",3.9047619047619047,7,"3,3,4,3,5,3,7,3,4,4,2,5,2,5,4,4,4,4,4,5,4",A2
AR_gpt-4o_10_21_418,6.4,9,"4,4,9,8,6,3,8,7,8,6,7,8,7,4,7",4.266666666666667,8,"3,4,3,8,6,4,4,3,4,6,5,3,4,4,3",12.8,20,"7,7,13,19,14,6,11,11,19,20,17,17,11,8,12",4.2,8,"3,4,3,8,6,4,4,3,4,6,5,3,4,4,2",A2
AR_gpt-4o_10_21_419,4.785714285714286,7,"4,4,3,5,4,4,6,4,7,4,5,5,6,6",4.285714285714286,6,"3,3,4,3,5,6,3,6,4,4,5,5,5,4",10.142857142857142,14,"7,6,6,10,14,12,9,12,12,8,11,10,11,14",4.214285714285714,6,"3,3,4,3,4,6,3,6,4,4,5,5,5,4",A2
AR_gpt-4o_10_21_420,6.052631578947368,10,"4,4,9,4,5,8,5,4,9,7,5,10,4,5,4,6,8,7,7",4.157894736842105,6,"3,3,3,4,5,3,4,4,5,6,3,3,6,5,6,3,5,4,4",11.631578947368421,18,"7,6,12,9,11,14,10,11,16,18,8,15,9,13,11,11,18,12,10",4.105263157894737,6,"3,3,3,4,5,3,4,4,5,6,3,3,6,4,6,3,5,4,4",A2
AR_gpt-4o_10_29_561,3.727272727272727,6,"5,3,3,4,3,3,3,4,3,3,4,3,4,4,4,3,5,4,3,3,5,6",3.6363636363636362,5,"2,5,3,4,4,4,3,5,4,3,3,4,3,4,3,3,5,4,3,3,4,4",7.318181818181818,11,"7,7,6,9,7,7,5,10,7,5,6,7,7,8,6,5,11,9,6,6,9,11",3.6363636363636362,5,"2,5,3,4,4,4,3,5,4,3,3,4,3,4,3,3,5,4,3,3,4,4",A1
AR_gpt-4o_10_29_562,3.6875,6,"5,3,3,4,3,4,3,3,5,3,4,3,3,3,4,6",3.75,5,"4,4,5,4,4,4,4,4,3,4,3,3,4,3,3,4",7.4375,11,"9,8,8,8,7,9,6,8,8,7,6,5,7,5,7,11",3.75,5,"4,4,5,4,4,4,4,4,3,4,3,3,4,3,3,4",A1
AR_gpt-4o_10_29_563,4.538461538461538,8,"5,8,4,4,5,3,3,4,5,4,5,3,6",3.4615384615384617,5,"3,4,2,4,3,4,3,5,3,3,3,4,4",8.384615384615385,15,"8,15,5,8,8,8,5,9,7,8,10,7,11",3.4615384615384617,5,"3,4,2,4,3,4,3,5,3,3,3,4,4",A1
AR_gpt-4o_10_29_564,3.608695652173913,5,"5,3,3,5,3,5,3,2,2,3,5,2,3,3,4,3,4,3,4,5,5,5,3",3.347826086956522,5,"3,5,4,3,3,5,4,3,3,5,3,4,4,2,2,4,3,3,3,3,3,2,3",6.521739130434782,10,"8,7,7,8,5,10,7,4,4,8,7,5,7,4,5,7,8,5,7,7,9,6,5",3.347826086956522,5,"3,5,4,3,3,5,4,3,3,5,3,4,4,2,2,4,3,3,3,3,3,2,3",A1
AR_gpt-4o_10_29_565,4.166666666666667,6,"5,4,6,3,3,3,4,4,5,4,5,4,4,3,4,4,5,5",3.5555555555555554,5,"3,4,3,3,4,3,4,5,3,5,3,4,3,4,3,3,3,4",7.555555555555555,11,"8,8,9,5,7,6,7,9,7,11,7,8,7,6,7,6,8,10",3.5555555555555554,5,"3,4,3,3,4,3,4,5,3,5,3,4,3,4,3,3,3,4",A1
AR_gpt-4o_10_29_566,3.3636363636363638,5,"5,4,4,3,3,3,3,3,3,3,4,4,2,3,3,2,4,2,3,4,5,4",3.409090909090909,6,"3,3,6,3,3,3,4,3,4,3,3,4,3,3,3,3,4,4,4,3,3,3",6.2727272727272725,11,"8,6,11,6,6,5,7,5,7,5,7,8,4,5,5,4,8,5,6,6,7,7",3.409090909090909,6,"3,3,6,3,3,3,4,3,4,3,3,4,3,3,3,3,4,4,4,3,3,3",A1
AR_gpt-4o_10_29_567,4.388888888888889,6,"5,4,3,4,3,6,4,4,4,6,4,6,5,6,4,4,4,3",3.5555555555555554,5,"3,4,3,4,4,3,3,4,3,3,4,3,4,4,4,5,3,3",8.055555555555555,12,"8,8,6,9,7,9,7,8,6,9,9,9,9,9,8,12,7,5",3.5555555555555554,5,"3,4,3,4,4,3,3,4,3,3,4,3,4,4,4,5,3,3",A1
AR_gpt-4o_10_29_568,5.0,7,"5,4,4,3,5,3,5,5,6,5,5,6,7,6,6",3.6666666666666665,5,"3,5,3,5,3,4,2,3,4,3,4,4,4,4,4",9.333333333333334,13,"8,9,8,8,8,8,7,7,10,10,12,10,13,12,10",3.6666666666666665,5,"3,5,3,5,3,4,2,3,4,3,4,4,4,4,4",A1
AR_gpt-4o_10_29_569,3.6315789473684212,7,"4,5,3,3,3,4,4,4,2,3,3,4,6,3,3,3,3,7,2",3.3684210526315788,5,"4,3,5,4,4,3,3,5,3,3,3,2,3,2,4,3,3,4,3",6.684210526315789,10,"9,9,7,8,7,7,6,9,4,5,6,5,9,4,7,5,6,10,4",3.3684210526315788,5,"4,3,5,4,4,3,3,5,3,3,3,2,3,2,4,3,3,4,3",A1
AR_gpt-4o_10_29_570,4.3,6,"5,4,3,3,2,5,4,6,5,5,3,5,2,4,5,4,5,5,5,6",3.5,5,"3,3,5,4,3,3,4,3,4,3,3,5,3,4,3,4,3,3,4,3",7.65,11,"8,6,7,7,4,8,8,8,11,10,5,9,4,8,7,7,8,10,10,8",3.5,5,"3,3,5,4,3,3,4,3,4,3,3,5,3,4,3,4,3,3,4,3",A1
AR_gpt-4o_10_29_571,6.0625,10,"6,5,5,6,4,6,4,6,6,5,5,4,10,8,10,7",4.25,6,"3,5,5,4,5,5,5,6,4,4,4,3,3,4,4,4",12.625,20,"11,12,13,10,10,16,10,14,12,13,9,7,17,12,20,16",4.125,6,"3,5,5,4,5,5,5,6,4,4,4,3,3,4,3,3",A2
AR_gpt-4o_10_29_572,5.777777777777778,10,"5,6,3,5,6,8,3,7,4,9,6,5,6,5,6,5,10,5",3.9444444444444446,7,"3,4,4,3,4,4,5,2,3,4,5,3,4,5,4,7,3,4",11.5,21,"9,12,8,9,11,15,8,9,8,21,13,8,12,10,11,16,16,11",3.9444444444444446,7,"3,4,4,3,4,4,5,2,3,4,5,3,4,5,4,7,3,4",A2
