Document_ID,sentences,total_words,avg_words_per_sentence,total_unique_words,avg_unique_words,overall_avg_word_len,overall_max_word_len,CEFR
AR-130-191809,7,134,19.142857142857142,124,17.714285714285715,4.813303947104788,11,B1
AR-130-191850,10,148,14.8,140,14.0,4.9822401468948785,10,B1
AR-130-192155,5,96,19.2,91,18.2,5.026363451363451,11,B1
AR-130-192218,5,123,24.6,109,21.8,5.034645354645354,9,B1
AR-130-192387,2,70,35.0,61,30.5,5.444746376811594,10,B1
AR-130-192490,5,153,30.6,139,27.8,4.794564946177849,10,B2
AR-130-192528,7,136,19.428571428571427,128,18.285714285714285,5.0695415695415695,10,B1
AR-130-192582,1,38,38.0,36,36.0,5.842105263157895,11,B1
AR-130-192654,5,134,26.8,130,26.0,5.029511724397641,10,B2
AR-130-192696,8,152,19.0,144,18.0,4.833852339181287,9,B1
AR-130-192707,7,151,21.571428571428573,142,20.285714285714285,4.980221861471861,10,B2
AR-130-192747,7,144,20.571428571428573,136,19.428571428571427,5.068622448979592,11,B1
AR-130-192751,6,95,15.833333333333334,92,15.333333333333334,5.4788495108188195,11,B1
AR-130-192885,8,129,16.125,120,15.0,4.814868278651173,9,B1
AR-130-192922,2,100,50.0,87,43.5,4.878205128205128,9,B1
AR-130-192949,4,118,29.5,109,27.25,4.822475490196078,11,B1
AR-130-193363,4,101,25.25,91,22.75,5.001310285849759,10,B1
AR-130-193451,6,107,17.833333333333332,93,15.5,4.808004551348204,8,B1
AR-130-193838,2,80,40.0,69,34.5,5.135989010989011,10,B1
AR-130-194708,1,31,31.0,26,26.0,5.064516129032258,9,B1
AR-130-194718,11,226,20.545454545454547,211,19.181818181818183,4.660809833653083,11,B2
AR-130-195100,8,141,17.625,126,15.75,5.276049366234789,10,B1
AR-130-19632,6,77,12.833333333333334,74,12.333333333333334,4.485796245664667,8,B1
AR-130-197835,12,345,28.75,320,26.666666666666668,5.0106167554739445,11,B2
AR-130-197898,4,105,26.25,99,24.75,4.905844017094017,9,B2
AR-130-198249,6,163,27.166666666666668,143,23.833333333333332,4.550241514757643,8,B2
AR-130-19883,8,151,18.875,143,17.875,4.624212184873949,9,B1
AR-130-199101,12,251,20.916666666666668,233,19.416666666666668,4.507598959047837,10,B2
AR-130-19921,8,176,22.0,163,20.375,4.7121019783991756,10,B1
AR-130-199634,7,176,25.142857142857142,157,22.428571428571427,5.222225306303225,11,B2
AR-130-199747,8,181,22.625,168,21.0,4.820933468979135,10,B2
AR-130-199818,6,104,17.333333333333332,101,16.833333333333332,5.356576797385621,10,B1
AR-130-287997,6,101,16.833333333333332,90,15.0,5.104093567251462,9,B1
AR-130-288874,4,69,17.25,64,16.0,5.0241477272727275,9,B2
AR-130-289073,3,63,21.0,58,19.333333333333332,4.937062937062937,10,B1
AR-130-289115,1,35,35.0,31,31.0,4.714285714285714,9,A2
AR-130-289903,4,77,19.25,63,15.75,5.681998556998558,11,B1
AR-130-294255,9,187,20.77777777777778,167,18.555555555555557,5.007229414891953,11,B1
AR-130-68830,4,87,21.75,76,19.0,4.761314363143631,9,B1
AR-130-80566,8,143,17.875,136,17.0,4.891782705598495,9,B2
AR-130-80816,2,145,72.5,128,64.0,4.579843928435478,9,B1
AR-130-80823,7,166,23.714285714285715,160,22.857142857142858,5.261825906562748,11,B2
AR-130-81303,8,163,20.375,157,19.625,4.999039869729525,9,B1
AR-130-81425,7,81,11.571428571428571,80,11.428571428571429,4.78337456194599,9,B1
AR-130-81723,10,252,25.2,235,23.5,4.751352448656387,11,B2
AR-130-81924,8,161,20.125,143,17.875,5.081904761904762,10,B2
AR-130-81952,12,207,17.25,200,16.666666666666668,4.695085478023121,9,B2
AR-130-81953,7,128,18.285714285714285,120,17.142857142857142,4.92760753204103,10,B2
AR-130-82310,11,178,16.181818181818183,172,15.636363636363637,4.465558682450103,9,B1
AR-130-82421,6,160,26.666666666666668,147,24.5,4.714665767955242,9,B2
AR-130-82659,6,108,18.0,96,16.0,4.933016759839648,10,B1
AR-130-82673,10,164,16.4,158,15.8,4.613554755589239,9,B1
AR-130-82789,5,100,20.0,94,18.8,5.244880382775119,10,B2
AR-130-83139,5,87,17.4,82,16.4,4.462777777777778,9,B1
AR-130-83165,7,139,19.857142857142858,133,19.0,5.131925672366849,11,B1
AR-130-83576,6,107,17.833333333333332,104,17.333333333333332,5.048048606415747,11,B1
AR-130-83934,5,120,24.0,104,20.8,4.508805828318023,9,B1
AR-130-84014,9,183,20.333333333333332,173,19.22222222222222,4.882039926341985,10,B1
AR-130-84446,10,202,20.2,187,18.7,4.965292748187485,11,B2
AR-130-84488,7,150,21.428571428571427,139,19.857142857142858,4.625168465946883,11,B1
AR-130-84627,4,144,36.0,128,32.0,5.101709119307942,11,B2
AR-130-84660,5,138,27.6,131,26.2,4.545919073752646,10,B1
AR-130-84687,2,33,16.5,33,16.5,5.5,10,B1
AR-130-84846,9,164,18.22222222222222,155,17.22222222222222,5.273012537936527,11,B2
AR-130-85294,11,248,22.545454545454547,235,21.363636363636363,4.68943904618674,10,C1
AR-130-85331,5,142,28.4,133,26.6,4.793137948059642,9,B2
AR-130-85466,9,152,16.88888888888889,151,16.77777777777778,4.762962962962963,10,B1
AR-130-85828,2,86,43.0,72,36.0,4.3436911487758945,10,B1
AR-130-86032,10,265,26.5,242,24.2,4.896689235561187,9,B2
AR-130-86741,6,116,19.333333333333332,110,18.333333333333332,4.55363455988456,9,B1
AR-130-86817,9,237,26.333333333333332,223,24.77777777777778,4.966008270714153,10,B2
AR-130-87139,2,27,13.5,25,12.5,5.391666666666667,10,A2
AR-130-87491,10,212,21.2,202,20.2,4.873548728103682,10,B1
AR-130-87760,9,181,20.11111111111111,171,19.0,4.750156872325065,10,C1
AR-130-88375,4,104,26.0,92,23.0,5.054079391891892,10,B1
AR-130-88399,6,89,14.833333333333334,85,14.166666666666666,4.5895562770562774,9,B1
AR-130-88780,6,73,12.166666666666666,69,11.5,4.415472709551657,10,B2
AR-130-89064,12,216,18.0,207,17.25,5.144609394828693,11,B2
AR-130-89381,6,155,25.833333333333332,148,24.666666666666668,4.620447477003738,9,B2
AR-130-89391,7,147,21.0,141,20.142857142857142,4.5481859410430845,9,B2
AR-130-89587,9,196,21.77777777777778,182,20.22222222222222,4.95228558523753,11,B1
AR-130-89591,9,131,14.555555555555555,122,13.555555555555555,4.994585346215781,11,B1
AR-130-89653,7,136,19.428571428571427,128,18.285714285714285,5.3061643118785975,10,B1
AR-130-89674,6,114,19.0,107,17.833333333333332,4.749197371256195,10,B1
AR-130-89676,15,327,21.8,309,20.6,4.563052145862775,9,B2
AR-130-89774,9,162,18.0,152,16.88888888888889,4.8036962063277855,11,B2
AR-130-90095,3,73,24.333333333333332,72,24.0,4.987647941733717,9,B1
AR-130-90250,6,156,26.0,145,24.166666666666668,5.106998342505589,9,B2
AR-130-90308,5,104,20.8,92,18.4,5.311163003663004,10,B1
AR-130-90411,10,151,15.1,144,14.4,5.024374193250968,9,B2
AR-130-90530,11,163,14.818181818181818,156,14.181818181818182,4.8831948003211725,10,B2
AR-130-90626,5,143,28.6,133,26.6,4.826850209938446,11,B1
AR-130-90783,10,178,17.8,171,17.1,4.767748216695585,10,B2
AR-130-90813,10,207,20.7,202,20.2,4.83353345921404,11,B1
AR-130-90873,10,178,17.8,166,16.6,4.768398015240121,10,B1
AR-130-91028,4,80,20.0,73,18.25,5.084294871794872,10,B1
AR-130-91113,10,178,17.8,173,17.3,5.183181224875094,10,B2
AR-130-91241,6,177,29.5,164,27.333333333333332,4.379111832374172,9,B2
AR-130-91256,19,298,15.68421052631579,277,14.578947368421053,4.83370815099571,11,B1
AR-130-91347,9,162,18.0,155,17.22222222222222,4.7769758460681375,10,B2
AR-130-91705,5,143,28.6,125,25.0,4.886448901452266,10,B2
AR-130-92103,4,103,25.75,97,24.25,4.766011705685619,9,B1
AR-130-92132,5,139,27.8,126,25.2,4.5005902479586695,8,B2
AR-130-92245,10,184,18.4,159,15.9,5.209908999497235,10,B1
AR-130-92581,9,154,17.11111111111111,146,16.22222222222222,5.091128213350435,11,B1
AR-130-92771,3,96,32.0,93,31.0,5.170606060606061,11,B1
AR-130-92844,6,123,20.5,120,20.0,4.9974535698219915,10,B2
AR-130-92874,4,105,26.25,99,24.75,4.592965367965368,9,B1
AR-130-92903,7,165,23.571428571428573,153,21.857142857142858,4.693079059538687,10,B1
AR-130-92956,11,218,19.818181818181817,209,19.0,4.976869242927595,11,C1
AR-130-92988,6,209,34.833333333333336,192,32.0,4.8419440314820745,10,B1
AR-130-93034,8,183,22.875,173,21.625,4.835515873015873,10,B1
AR-130-93037,8,204,25.5,188,23.5,4.915778222000111,10,B2
AR-130-93285,5,82,16.4,66,13.2,5.503397327310371,11,B1
AR-130-93459,6,170,28.333333333333332,158,26.333333333333332,4.492701711400319,9,B1
AR-130-93749,6,134,22.333333333333332,123,20.5,4.999339909197947,10,B2
AR-130-94052,8,270,33.75,239,29.875,4.712836445283943,10,B1
AR-130-94320,7,199,28.428571428571427,180,25.714285714285715,4.907380501272128,11,B2
AR-130-94968,10,202,20.2,190,19.0,5.299554807073989,11,B1
AR-130-94976,11,226,20.545454545454547,216,19.636363636363637,5.195198027707909,11,C1
AR-130-95365,15,272,18.133333333333333,257,17.133333333333333,5.26230964488765,12,B2
AR-130-95601,11,286,26.0,268,24.363636363636363,4.973044488823019,11,B2
AR-130-95626,5,251,50.2,213,42.6,4.50720799196409,9,C1
AR-130-95796,12,225,18.75,206,17.166666666666668,4.702288259579926,10,C1
AR-130-95921,15,299,19.933333333333334,285,19.0,4.6213004649721325,10,B1
AR-130-95973,3,80,26.666666666666668,75,25.0,5.080882352941177,11,B1
AR-130-96120,10,276,27.6,266,26.6,4.769019799513158,11,C1
AR-130-96463,6,140,23.333333333333332,132,22.0,4.986996709252806,10,B2
AR-130-96479,7,250,35.714285714285715,232,33.142857142857146,4.942250114417602,10,C1
AR-130-96682,5,166,33.2,149,29.8,4.754318181818182,11,B2
AR-130-96735,9,177,19.666666666666668,164,18.22222222222222,5.052512025012025,11,B1
AR-130-96882,5,132,26.4,119,23.8,4.667190374549504,9,B1
AR-130-96883,9,182,20.22222222222222,172,19.11111111111111,4.883104096339391,11,C1
AR-130-97035,8,206,25.75,192,24.0,5.126017501017501,10,B2
AR-130-97236,15,352,23.466666666666665,333,22.2,5.1789724579379754,11,B2
AR-130-97412,11,291,26.454545454545453,261,23.727272727272727,4.899086830016525,10,B1
AR-130-97455,10,246,24.6,231,23.1,4.92205225707948,11,B2
AR-130-97525,8,258,32.25,237,29.625,4.964168019480519,11,B2
AR-130-97652,7,249,35.57142857142857,218,31.142857142857142,4.774553003997298,11,B2
AR-130-97726,6,144,24.0,130,21.666666666666668,5.266765169424744,10,B2
AR-130-97823,12,237,19.75,223,18.583333333333332,4.942972537071778,10,C1
AR-130-97827,6,141,23.5,137,22.833333333333332,4.77051042639278,10,B2
AR-130-97841,11,151,13.727272727272727,143,13.0,4.87198242933537,10,B2
AR-130-97908,5,178,35.6,165,33.0,4.653915139826422,8,B2
AR-130-97947,1,63,63.0,52,52.0,4.73015873015873,12,B1
AR-130-97981,8,149,18.625,132,16.5,4.723242945834775,9,B2
AR-130-98023,5,114,22.8,111,22.2,4.873326827970791,10,B1
AR-130-98089,6,142,23.666666666666668,132,22.0,4.482649252274888,9,B2
AR-130-98135,8,213,26.625,203,25.375,4.696154941162071,11,B2
AR-130-98148,4,113,28.25,108,27.0,4.833341726819988,10,B2
AR-130-98231,7,149,21.285714285714285,136,19.428571428571427,4.753938621557319,8,B2
AR-130-98572,5,156,31.2,141,28.2,4.966088471443721,13,B2
AR-130-98675,10,204,20.4,191,19.1,5.146249926441021,10,B2
AR-130-98795,8,286,35.75,251,31.375,4.769735741468357,11,B2
AR-130-98853,9,196,21.77777777777778,185,20.555555555555557,4.8375039468283285,11,B2
AR-130-99025,7,136,19.428571428571427,126,18.0,4.686788573745096,9,B2
AR-130-99201,4,83,20.75,74,18.5,3.991368645973909,10,B1
AR-130-99351,7,147,21.0,143,20.428571428571427,4.758680124223602,11,B2
AR-130-99438,8,235,29.375,217,27.125,4.860031766605042,10,B2
AR-130-99442,6,181,30.166666666666668,145,24.166666666666668,4.958567166586034,9,B2
AR-130-99590,5,102,20.4,101,20.2,4.517608225108225,9,B1
AR-130-99787,6,111,18.5,104,17.333333333333332,5.100872507122507,11,B1
