Document_ID,Essay,CEFR,word_count
AR-030-92524,خلق الله تعالى هذه الأمم والشعوب للتعارف والتفاهم والتصالح مع بعضهم البعض. التسامح شيء مهم في حياتنا اليومية والدينية، وللتسامح العديد من الفوائد منها تعريف الناس على بعضهم البعض وعلى الثقافات والحضارات والعلوم الموجودة لدى الآخرين. وقد يتسبب التسامح بشعور الأمن والأمان. يعتقد الكثير من الناس أن التطور هو استخدام كل ما هو جديد أو حديث ولكن مفهوم التطور هو استكشاف أشياء موجودة قديمة تنفع للمستقبل والقيام بإعادة صناعتها لكي تبقى صامدة. التطور الحضاري في دولة الإمارات بدأ من اكتشاف المواهب الموجودة في أفراد المجتمع وتعزيزهم في إظهارها للدولة للإستفادة منها، ومن هذا الشيء بدأت دولة الإمارات بالتطور ومساعدة الدول الأخرى. ما يتميز به العصر الحديث هو التقدم الكبير في تكنولوجيا الاتصال والتواصل. ظهرت هذه الوسائل كإنجاز حضاري استنتجته العقول الذكية العملاقة. لقد أثرت التكنولوجيا على العالم بأكمله. لدى التكنولوجيا العديد من السلبيات والإيجابيات ولكن الكثير من السلبيات علينا أن لا نهملها أو نتجاهلها، وإنها مدخل مناسب للأعداء لتتبع الشباب ومتابعة أنشطتهم المختلفة. وإن التكنولوجيا مكان مناسب للتخطيط لنشر الجريمة والتطرف أحيانا.,B1,150
AR-030-92800,يجب على كل فرد أن يساهم في التسامح وحث الآخرين على هذا التصرف الإيجابي. على المجتمع أن يعزز من ثقافة التسامح في المجتمع من خلال اطلاع الناس على مدى أهمية هذا الشيء. إن دولة الإمارات تشهد أكبر تطور حضاري لم تشهد مثله من قبل. وتتم وسائل التواصل الاجتماعي بالتأثير على الفرد والمجتمع.,B1,50
AR-030-93360,تسامحوا تسامحوا: لا شك كل إنسان يخطو على هذه الأرض قد مر من قبل بمواقف كثيرة يقشعر لبعضها البدن وبعضها قد يكون بنظره لا تغتفر، في حين أن البعض الآخر قد لا يلقي لها بالا أو يرى أنها أتفه من أن تجعله يتجاهل وجود شخص ما... وهنا يأتي الأمر، فتكون المعضلة في الشخص نفسه وفي كيف سيختار ما سيتصرف به وما إذا كان سيسامح أم لا. لقد حثنا الدين الإسلامي البليغ على ثقافة التسامح ورفع من شأنه، ولعل أول سبب يجعلنا لا نتهاون فيه هو أن القطيعة لمدة تزيد عن ثلاثة أيام تضعنا تحت خطر جسيم، وهو أن أعمالنا لا ترفع ولا تقبل حتى تنهى هذه القطيعة، فبالنسبة لي هذا السبب أكثر من كاف حتى أسامح غيري. فلو حاولنا أن نكون متسامحين يمكننا بذلك أن نكون قدوة لغيرنا، كما أن نشر الوعي بشأن هذا الأمر سيعزز من ثقافة التسامح في المجتمع خصيصا لو رأى الناس أن هذا الأمر وهو (‪@@‬ المسامحة) أصبح شائعا في أحيائهم سينساقون خلفه لا شعوريا، فمن عاشر قوما أصبح مثلهم. ختاما علينا أن لا ننسى كم من الأخطاء التي ارتكبناها في حياتنا والتي ربما لا زلنا نستمر في ارتكابها، ولكن يظل الله يسامحنا عليها، فسامحوا من في الأرض... يسامحكم من في السماء.,B2,200
AR-030-96339,ما يتميز به العصر الحديث هو التقدم في التكنولوجيا، وصفات التواصل الاجتماعي متعددة في أنواع وأشكال التكنولوجيا المتطورة أكثر. توجد أضرار كبيرة في التواصل الاجتماعي وهي الانشغال عن أداء بعض الواجبات سواء الأسرية أو في جوانب أداء العمل الوظيفي المختلفة. ويوجد ضرر كبير مثل أنه مدخل لنشر ثقافة الانحلال الخلقي والفساد المجتمعي وعدم الثقة وهو عبارة عن مجتمع مفتوح أمام كل المجتمعات، وتكون أحيانا فيه فرصة قوية لنشر الإشاعات وترويجها. وفي مختلف جوانب الحياة وليس فقط التواصل الاجتماعي توجد فيه أضرار بل توجد فيه فوائد كثيرة ومنها تبادل الخبرات الحياتية في مجالات الحياة المتعددة والمعلومات الهامة من مصادرها التي توفرها من خلال تسجيلات الإعجاب والتابعة لبعضها، وتفسح المجال أمام الإبداع في رسم اجتهادات فكرية وثقافية وسياسية معينة. وإن وسائل التواصل الاجتماعي هي منجزات حضارية عظيمة، والإنسان وحده الذي يملك طريقة الاستفادة منها.,B1,150
AR-030-96683,وسائل التواصل الاجتماعي شهد العالم في القرن السابق تطورات عدة ومنها بدأت وسائل التواصل الاجتماعي في قرننا هذا في الانتشار. وبدأت تزيد أهميتها يوما بعد يوم وبدا تأثيرها واضحا على الفرد والمجتمع كثيرا، كما أنه بدا بكونه شيئا فائق الأهمية في بيوتنا وعصرنا هذا. لكن هناك تأثيرات سلبية وإيجابية للمجتمع والفرد. كما ذكرت سابقا أن لوسائل التواصل الاجتماعي إيجابيات منها: سهولة التواصل بين المجتمع والفرد. مثلا تواصل الفرد من مكان بعيد بشخص أو مجموعة أناس يعيشون في بلدة أو مكان آخر. والفرد يمكنه تزويد نفسه بالمعلومات المهمة وإجراء بحوث عن طريق التواصل الاجتماعي. أما الجانب السلبي للمجتمع قد تبدأ خلافات بينهم بسبب وسائل التواصل الاجتماعي وكلام غير صحيح أو أن تكون إشاعة. وتنتشر هذه الإشاعة في المجتمع أسرع بسبب سهولة التواصل وتداول المعلومات في وسائل التواصل الاجتماعي. وأيضا قد تكون هناك عمليات نصب أكثر في هذه الوسائل بسبب سهولة البقاء مجهولا وراء الشاشة.,B1,150
AR-030-97791,لقد وقعت الكثير من التطورات الحضارية من قبل هؤلاء الناس العباقرة الذين أتوا إلينا من جميع نواحي الدول وعززوا دولة الإمارات. فقد قدموا إلينا جميع احتياجاتنا، وكل ما أردناه هو مجتمعا آمنا وخال من المشاكل والمتاعب. قدمت لنا دولة الإمارات العربية المتحدة أولا مكانا آمنا، وهو سبب من الأسباب لماذا الناس يأتون من دول أخرى بعيدة إلى هنا، فقد بنوا لنا أفخر المطاعم وأعلى المدارس والجامعات، أيضا وفروا لنا شوارع وطرقا منظمة وقوانين تطبق لكل شخص متاح في دولة الإمارات العربية المتحدة. أتت هذه الأفكار الخلابة والمذهلة من كل دولة ممكنة. ومن الأكيد دولتنا فعلت الكثير من البحوثات وذهبت إلى أماكن أخرى لاستكشاف العالم بأكمله والتمكن من الاستطلاع لأفكار وطريقة بنائها بطريقة فريدة ومثالية، فهذا يستغرق الكثير من الوقت والجهد. فأنا فخورة جدا بكوني إماراتية.,B1,100
AR-130-119813,التواصل الاجتماعي له سلبيات وإيجابيات لكن قد يؤثر بطريقة سلبية أكثر على الفرد. الكثير من الناس يستخدمون التواصل الاجتماعي بطريقة خاطئة. يقتبس الفرد الكثير من التواصل الاجتماعي ويتأثر وقد يؤثر عليه بطريقة خاطئة كما ذكرنا.,A2,0
AR-130-119831,فيه عديد من الناس كانت ثقافتهم سيئة، ما كانوا منضمين لمجتمع وفيه بعضهم مع ناس. الحياة هي أصلا حياة الإنسان، كيف يعيش على الأرض، هذا واجب علينا أن نتعامل معهم [INCOMPLETE],Unassessable,0
AR-130-121991965,لوسائل التواصل الاجتماعي تأثير على الفرد والمجتمع، منها تأثير إيجابي ومنها سلبي. تأثير التواصل الاجتماعي السلبي على الفرد: هو أن الفرد يستخدمه بطريقة غير لائقة تسبب له المشاكل والأمراض، ونقصد بالأمراض أن الفرد أصبح لا يريد التحرك أو الخروج خارج المنزل أو ممارسة الرياضة، أصبح فقط يريد الأكل واستخدام وسائل التواصل الاجتماعي. أما بالنسبة للجانب الإيجابي هو أن الفرد يستطيع أن يستخدم هذه الوسائل للدراسة أو التواصل مع أحد المدرسين للاستفسار عن سؤال أو التواصل مع شخص عزيز مقرب أو بعيد عنه. كما أنها من الممكن أن تقرب علاقة الأفراد ببعضهم. أما بالنسبة لتأثيرها على المجتمع فهي تنمي المجتمع وترقيه.,B1,100
AR-130-165859,وسائل التواصل الاجتماعي بات يستخدمها الصغير والكبير. هي عالم آخر يلجأ إليه الفرد ليقضي فيه بعض الوقت. لكنها سلاح ذو حدين قد يفيد من يحسن استخدامه في التواصل مع الأصدقاء والتطلع إلى آخر الأخبار وقد يستخدمه البعض للتجارة وربح الأموال. ولكن هناك سلبيات كثيرة لمن يسيء استخدامه ويؤدي إلى ضياعه. على سبيل المثال إدمان هذه المواقع يؤدي إلى كوارث على الفرد ذاته والمجتمع أيضا، مثل مشاكل الطلاق والتشتت الأسري وأيضا ضياع الأبناء لعدم رقابة الوالدين. وضياع الأسرة من ضياع المجتمع لأن الأسرة السليمة هي الأساس لبناء مجتمع سليم.,B2,50
AR-130-165949,ثقافة التسامح تعتبر ثقافة التسامح من أهم الثقافات التي يجب تعزيزها في كل المجتمعات سواء كانت عربية أو أجنبية. وقد حرصت دولة الإمارات العربية المتحدة على غرس ثقافة التسامح بين أبناء شعبها من خلال إطلاق اسم عام التسامح على عام ٢٠١٩. ومن خلال هذه المبادرة تم عمل محاضرات وتجمعات وملتقيات لنشر ثقافة التسامح ولتعريف أبناء الشعب عليها أكثر. وقد ساهمت هذه الطرق في نشر ثقافة التسامح أكثر وتعزيزها بين الشعب الإماراتي، وساهمت في تشجيع كل مواطن على نشر هذه الثقافة بين أفراد أسرته والبيئة المحيطة به عن طريق تعليمهم ما قد تعلمه عن ثقافة التسامح في الملتقيات والمحاضرات التي حضرها من قبل. أيضا من الطرق الأخرى التي تساعد الناس على تعزيز ثقافة التسامح فيهم هي الاقتداء برسولنا الكريم محمد صلى الله عليه وسلم، فهو قدوتنا في التسامح والصفح والعفو. فيجب على المرء أن يحتسب الأجر ويسامح ويعفو عند المقدرة.,B1,100
AR-130-168718,تعتمد الكثير من المؤسسات والدوائر الحكومية في دولة الإمارات على نشر آخر أخبارها وعن احتياجاتها لموظفين عبر برامج التواصل الإلكتروني المنوعة، فيجبر أفراد المجتمع على وجودهم في ساحة برامج التواصل الاجتماعي ليطلعوا على آخر الأخبار والمستجدات التي تمر بها دولتهم. تؤثر وسائل التواصل الاجتماعي على الأفراد والمجتمع بطرق إيجابية وسلبية في آن واحد. من إيجابيات وسائل التواصل الاجتماعي على الفرد والمجتمع أنها تبقيهم على استطلاع دائم بآخر الأخبار والمستجدات. وأيضا تبقي المجتمعات في تواصل دائم ومناقشة بعض القضايا التي يمر بها مجتمعنا وعرض الأسباب والتوصل إلى حلول لهذه المشاكل. وتؤثر أيضا هذه الوسائل بطرق سلبية على مجتمعنا من نواح عدة. أولا يبقى الفرد منشغلا مع نفسه بجهازه أو حاسوبه الخاص بعيدا عن أهله وأصحابه. يشتكي كثير من أولياء الأمور والآباء من انشغال أبنائهم بهذه البرامج سواء انشغال في شيء جيد أم سيئ. تؤثر هذه البرامج أيضا على المجتمع من ناحية أنهم يبقون على تواصل داخل برامج التواصل فقط ليس خارجها. أرى أن وسائل التواصل الاجتماعي جيدة ومفيدة إذا استخدمها الفرد والمجتمع بحدود، ولا ينسى أن لأهله ونفسه ولمجتمعه حقا عليه بعيدا عن هذه البرامج.,B2,150
AR-130-186196,أصبحت وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع تأثيرا قويا مما أدى ببعض المراهقين للإدمان على التواصل الاجتماعي وينتج عن ذلك الإصابة بالمرض النفسي. أصبح الناس لا يبالون بالوقت الذي يقضونه على الإنترنت أو البرامج الاجتماعية وأدى الأمر إلى الانقطاع عن الأرحام أو بالأحرى الانقطاع عن العالم. التواصل الاجتماعي لديه تأثيران على الشخص؛ تأثير إيجابي وتأثير سلبي. التأثير الإيجابي للشخص هو أن الشخص قادر على التواصل مع أفراد أسرته أو أصدقائه في جميع أنحاء العالم، وأيضا يمكنه تعلم الأشياء المفيدة بالتواصل الاجتماعي أو جمع معلومات جيدة ومفيدة من التواصل الاجتماعي. التأثير السلبي على الفرد هو أن الجميع الآن منقطع عن زيارة الأصدقاء أو الأهل والكل منطو في غرفته بعيدا عن أفراد الأسرة وذلك ينتج توحد الشخص وكرهه لحضور مناسبات عائلية أو مناسبة لأصدقائه. التأثير السلبي الثاني هو أن التواصل الاجتماعي يؤدي إلي إدمان بعض الأشياء مثل المخدرات أو الكحول أو غير ذلك، وذلك يحدث من بيع المخدرات في مواقع التواصل الاجتماعي. أحيانا يتعرض الفرد إلى المساءلة القانونية بسبب التواصل الاجتماعي لأنه انطبقت قوانين في بعض الدول لعدم الشتم أو التنمر وذلك يعرضك لمساءلة قانونية أو السجن والغرامة.,B1,150
AR-130-187968,في الآونة الأخيرة ظهرت وسائل التواصل الاجتماعي بشكل مفرط وأثرت على الكثير من الناس والعوائل وربما أثرت على بعض الناس بطريقة إيجابية وبعضهم بطريقة سلبية. وأثرت على المراهقين بطريقة سلبية جدا لأنهم طوال الوقت وهم على الأجهزة الإلكترونية، وبات الناس الآن فقط يتواصلون بالأجهزة وصاروا يتجنبون التجمعات العائلية - وهذا فعل خاطئ - وحتى في تجمعاتهم يتواصلون بالأجهزة، والآن بات التواصل قليلا جدا وكل شيء صار بالتواصل الاجتماعي. في الماضي في كل مناسبة كانت العوائل تتجمع وتدردش مع بعضها البعض والأطفال يلعبون في الخارج، أما الآن فالأطفال جالسون ولا يعرفون شيئا غير الإلكترونيات، وهذا الفعل ينتج أمراضا مزمنة مثل السمنة وأمراض القلب فقط لأنهم لا يريدون فعل شيء غير الجلوس. وأيضا مواقع التواصل الاجتماعي لها تأثير سلبي على التحصيل الدراسي للمدرسة فقط لأنهم لا يريدون فتح مخهم، يريدون الأشياء الجاهزة. وأيضا له تأثير إيجابي على المجتمع وصار التواصل أسهل للذين يعملون، صار أسهل للمدراء للتواصل مع الموظفين. والجميع صاروا يذكرون بعضهم من خلال التواصل وهو شيء جيد، وأيضا في المستشفيات والمواعيد وفي كل شيء التواصل بات أسهل على الجميع. يجب على الناس معرفة كيفية استخدام الوسائل ويجب عليهم تعليم الصغار والكبار كيفية التواصل بطريقة صحيحة وليس طوال الوقت، ويجب عليهم التفريق في كيفية استخدامه إلا إذا كان ضروريا. وعلى أولياء الأمور تعليم أبنائهم الطريقة الصحيحة وأيضا أضرار البرامج والجلوس عليها طويلا. وفي النهاية الوسائل لها سلبيات وإيجابيات وعلى الجميع التفريق بينها.,B1,200
AR-130-188359,التواصل الاجتماعي الآن من أحد أكثر المواضيع الأكثر جدلا في وقتنا الحالي. التواصل الاجتماعي له الكثير من التأثير على المجتمع والفرد. تأثيره على الفرد يسبب الوحدة والكآبة للفرد وفي بعض الأحيان العنف. تأثيره على المجتمع يجعل هناك ثغرة بين العائلة والفرد وبين الأشخاص.,B1,50
AR-130-188826,لقد شكلت مواقع التواصل الاجتماعي دورا كبيرا في تطوير مجتمعنا الحالي وأثرت على الفرد بشكل ملحوظ من خلال التجارة والدراسة والطب، واستفتحت العديد من مجالات التواصل عبر الحاسوب والشاشة النقالة، وجعل ذلك سهولة في التواصل مع خارج الدولة وداخلها عن طريق إرسال الرسائل النصية أو تسجيل الصوت أو الصورة. مواقع التواصل الاجتماعي لها العديد من السلبيات مثل انتهاك خصوصية الغير وهو التهديد في معلومات المستخدم الشخصية وفقدان التعامل مع الناس - فقط خلف الشاشة - وكذلك التشتت الذهني قد يؤثر على الفرد في قيادة السيارة وهذا الأمر قد يسبب الحوادث، وغيرها العديد من المشاكل. وكذلك لها العديد من المميزات مثل زيادة التعارف، إنشاء حسابات لترويج المنتجات والسلع التي يتم تداولها بشكل من مشاهير التواصل الاجتماعي عبر السنابتشات والإنستجرام، ويمكنك إنشاء قناتك الخاصة في اليوتيوب لنشر الوعي والثقافة الفكرية التي قد تساهم بدور فعال لتنمية مجتمع له فكر واسع لخلق العديد من الإنجازات المستحيلة ولتطوير الدول بشكل مستمر، وكل هذا بواسطة مقطع فيديو يتداول عبر مواقع التواصل الاجتماعي للاستفادة والنشر للغير.,B2,150
AR-130-188847,في وقتنا الحالي انتشرت بشكل سريع وسائل التواصل الاجتماعي وأصبح أفراد المجتمع مدمنين عليها بشكل لا يوصف فساهمت في التشتت الأسري بشكل ملحوظ وأثرت على المجتمع وتفككه أيضا، فأصبح الصغير والكبير لا يستطيعون ترك وسائل التواصل الاجتماعي رغم درايتهم بكثرة مشاكلها إلا إنهم منغمسون فيها، ومن أضرار التواصل الاجتماعي كثرة الانتحار وتشتت الأسر ومحاولة تقليد الآخرين في كل شيء سيئ ومقارنة الأشخاص لحياتهم بحياة الغير حتى انتشر الحسد والبغض بينهم.,B1,50
AR-130-188945,لقد سببت الكثير من الخلافات والفتن في مجتمعنا مؤخرا، فتوصل الخلافات للمحاكم وهذا يضر المجتمع والصغار في سن حيث يصدقون كل ما يرونه في وسائل التواصل الاجتماعي. بعض الأفراد أثرت عليهم حتى الانتحار وهذا ما يقلق الأهالي على أولادهم من التواصل الاجتماعي. والتواصل الاجتماعي فرق الكثير من العائلات لأنهم لا يجلسون مع بعضهم البعض. وسائل التواصل أثرت على أغلبية الشعب والفتن بين الشعوب وتعليم الأطفال العادات السيئة مثل لعبة البابجي التي أثرت على بنات وانتحروا بسبب خسارتهم اللعبة فهذا يؤثر كثيرا على الأطفال مؤخرا. من رأيي يجب حظر هذه الألعاب و [INCOMPLETE],A2,100
AR-130-189349,وسائل التواصل الاجتماعي تؤثر كثيرا على الفرد والمجتمع تأثيرات سلبية، منها قد تلهي الفرد عن أشغاله. والمراهقون قد تلهيهم عن دراستهم وعدم قدرتهم على النوم بشكل كاف، وعدم القدرة على التركيز في الدراسة وأيضا البالغون لا يمكنهم أن يكملوا يومهم بسبب الإجهاد والسهر على مواقع التواصل الاجتماعي. ولذلك على الإنترنت في كل عام ينزلون تطبيقا جديدا للتواصل الاجتماعي بين الأفراد ويستخدمونه بلا شك وذلك أيضا يؤثر على حياتهم العائلية أيضا، فقد لا يجدون وقتا كافيا للجلوس مع عائلتهم وأصدقائهم، وأيضا صحتهم قد تتدهور بسبب انشغالهم طيلة ساعات طويلة في قضاء وقتهم. وأيضا من أشهر الأمراض التي قد يصاب بها الفرد إذا قضى أكثر من أربع ساعات في استخدام مواقع التواصل آلام الرقبة والظهر والأرق وعدم القدرة على الاتزان في حياته بسبب شاشات الإلكترونيات والجلوس مدة طويلة في نفس الوضعية دون حركة. وقد تسبب وسائل التواصل الاجتماعي الانعزال الشعوري عن المجتمع. وأيضا هناك فوائد لاستخدام مواقع التواصل الاجتماعي هي تبادل الخبرات الحياتية واكتساب معلومات هامة وجديدة واكتساب مهارات جديدة للإبداع. وفي الختام وسائل التواصل الاجتماعي هي منجزات عظيمة، والإنسان هو الذي يملك القدرة على الاستفادة منها أو سبل توقي من خطرها عليه. وهنا علينا تقديم النصح والتوعية للمراهقين والأطفال كي لا يقعوا في فخ مواقع التواصل الاجتماعي.,B2,200
AR-130-189525,هناك العديد من الإيجابيات والسلبيات التي تسببها وسائل التواصل الاجتماعي. كثير من الناس يستفيدون من التواصل الاجتماعي بشكل كبير بالبحث والعلم وأيضا التجارة. وهناك آخرون يتحدثون عن السياسة وأحاديث لا تخصهم، فقط يبحثون عن الجدال والشهرة، وهذا أمر محزن في زمننا هذا. إن وسائل التواصل الاجتماعي سلاح ذو حدين إما أن تستفيد منه وإما أن تشوه سمعتك وأخلاقك. بعض من الناس يعتقد بأن وسائل التواصل الاجتماعي فقط لها سلبيات بسبب أخلاق بعض من الناس أو أفعالهم المؤذية، ولكن التواصل مع الآخرين أمر مهم لتكوين علاقات تدوم.,B1,50
