ID,CEFR
AR_gpt-4o_8_16_310,A1
AR_gpt-4o_8_16_311,A2
AR_gpt-4o_8_16_312,A2
AR_gpt-4o_8_16_313,A2
AR_gpt-4o_8_16_314,A2
AR_gpt-4o_8_16_315,A2
AR_gpt-4o_8_16_316,A2
AR_gpt-4o_8_16_317,A2
AR_gpt-4o_8_16_318,A2
AR_gpt-4o_8_16_319,A2
AR_gpt-4o_8_16_320,A2
AR_gpt-4o_8_17_321,A1
AR_gpt-4o_8_17_322,A1
AR_gpt-4o_8_17_323,A1
AR_gpt-4o_8_17_324,A1
AR_gpt-4o_8_17_325,A1
AR_gpt-4o_8_17_326,A1
AR_gpt-4o_8_17_327,A1
AR_gpt-4o_8_17_328,A1
AR_gpt-4o_8_17_329,A1
AR_gpt-4o_8_17_330,A1
AR_gpt-4o_8_17_331,A2
AR_gpt-4o_8_17_332,A2
AR_gpt-4o_8_17_333,A2
AR_gpt-4o_8_17_334,A2
AR_gpt-4o_8_17_335,A2
AR_gpt-4o_8_17_336,A2
AR_gpt-4o_8_17_337,A2
AR_gpt-4o_8_17_338,A2
AR_gpt-4o_8_17_339,A2
AR_gpt-4o_8_17_340,A2
AR_gpt-4o_1_18_341,A1
AR_gpt-4o_1_18_342,A1
AR_gpt-4o_1_18_343,A1
AR_gpt-4o_1_18_344,A1
AR_gpt-4o_1_18_345,A1
AR_gpt-4o_1_18_346,A1
AR_gpt-4o_1_18_347,A1
AR_gpt-4o_1_18_348,A1
AR_gpt-4o_1_18_349,A1
AR_gpt-4o_1_18_350,A1
AR_gpt-4o_1_18_351,A2
AR_gpt-4o_1_18_352,A2
AR_gpt-4o_1_18_353,A2
AR_gpt-4o_1_18_354,A2
AR_gpt-4o_1_18_355,A2
AR_gpt-4o_1_18_356,A2
AR_gpt-4o_1_18_357,A2
AR_gpt-4o_1_18_358,A2
AR_gpt-4o_1_18_359,A2
AR_gpt-4o_1_18_360,A2
AR_gpt-4o_3_19_361,A1
AR_gpt-4o_3_19_362,A1
AR_gpt-4o_3_19_363,A1
AR_gpt-4o_3_19_364,A1
AR_gpt-4o_3_19_365,A1
AR_gpt-4o_3_19_366,A1
AR_gpt-4o_3_19_367,A1
AR_gpt-4o_3_19_368,A1
AR_gpt-4o_3_19_369,A1
AR_gpt-4o_3_19_370,A1
AR_gpt-4o_3_19_371,A2
AR_gpt-4o_3_19_372,A2
AR_gpt-4o_3_19_373,A2
AR_gpt-4o_3_19_374,A2
AR_gpt-4o_3_19_375,A2
AR_gpt-4o_3_19_376,A2
AR_gpt-4o_3_19_377,A2
AR_gpt-4o_3_19_378,A2
AR_gpt-4o_3_19_379,A2
AR_gpt-4o_3_19_380,A2
AR_gpt-4o_9_20_381,A1
AR_gpt-4o_9_20_382,A1
AR_gpt-4o_9_20_383,A1
AR_gpt-4o_9_20_384,A1
AR_gpt-4o_9_20_385,A1
AR_gpt-4o_9_20_386,A1
AR_gpt-4o_9_20_387,A1
AR_gpt-4o_9_20_388,A1
AR_gpt-4o_9_20_389,A1
AR_gpt-4o_9_20_390,A1
AR_gpt-4o_9_20_391,A2
AR_gpt-4o_9_20_392,A2
AR_gpt-4o_9_20_393,A2
AR_gpt-4o_9_20_394,A2
AR_gpt-4o_9_20_395,A2
AR_gpt-4o_9_20_396,A2
AR_gpt-4o_9_20_397,A2
AR_gpt-4o_9_20_398,A2
AR_gpt-4o_9_20_399,A2
AR_gpt-4o_9_20_400,A2
AR_gpt-4o_10_21_401,A1
AR_gpt-4o_10_21_402,A1
AR_gpt-4o_10_21_403,A1
AR_gpt-4o_10_21_404,A1
AR_gpt-4o_10_21_405,A1
AR_gpt-4o_10_21_406,A1
AR_gpt-4o_10_21_407,A1
AR_gpt-4o_10_21_408,A1
AR_gpt-4o_10_21_409,A1
AR_gpt-4o_10_21_410,A1
AR_gpt-4o_10_21_411,A2
AR_gpt-4o_10_21_412,A2
AR_gpt-4o_10_21_413,A2
AR_gpt-4o_10_21_414,A2
AR_gpt-4o_10_21_415,A2
AR_gpt-4o_10_21_416,A2
AR_gpt-4o_10_21_417,A2
AR_gpt-4o_10_21_418,A2
AR_gpt-4o_10_21_419,A2
AR_gpt-4o_10_21_420,A2
AR_gpt-4o_1_22_421,A1
AR_gpt-4o_1_22_422,A1
AR_gpt-4o_1_22_423,A1
AR_gpt-4o_1_22_424,A1
AR_gpt-4o_1_22_425,A1
AR_gpt-4o_1_22_426,A1
AR_gpt-4o_1_22_427,A1
AR_gpt-4o_1_22_428,A1
AR_gpt-4o_1_22_429,A1
AR_gpt-4o_1_22_430,A1
AR_gpt-4o_1_22_431,A2
AR_gpt-4o_1_22_432,A2
AR_gpt-4o_1_22_433,A2
AR_gpt-4o_1_22_434,A2
AR_gpt-4o_1_22_435,A2
AR_gpt-4o_1_22_436,A2
AR_gpt-4o_1_22_437,A2
AR_gpt-4o_1_22_438,A2
AR_gpt-4o_1_22_439,A2
AR_gpt-4o_1_22_440,A2
AR_gpt-4o_11_23_441,A1
AR_gpt-4o_11_23_442,A1
AR_gpt-4o_11_23_443,A1
AR_gpt-4o_11_23_444,A1
AR_gpt-4o_11_23_445,A1
AR_gpt-4o_11_23_446,A1
AR_gpt-4o_11_23_447,A1
AR_gpt-4o_11_23_448,A1
AR_gpt-4o_11_23_449,A1
AR_gpt-4o_11_23_450,A1
AR_gpt-4o_11_23_451,A2
AR_gpt-4o_11_23_452,A2
AR_gpt-4o_11_23_453,A2
AR_gpt-4o_11_23_454,A2
AR_gpt-4o_11_23_455,A2
AR_gpt-4o_11_23_456,A2
AR_gpt-4o_11_23_457,A2
AR_gpt-4o_11_23_458,A2
AR_gpt-4o_11_23_459,A2
AR_gpt-4o_11_23_460,A2
AR_gpt-4o_12_24_461,A1
AR_gpt-4o_12_24_462,A1
AR_gpt-4o_12_24_463,A1
AR_gpt-4o_12_24_464,A1
AR_gpt-4o_12_24_465,A1
AR_gpt-4o_12_24_466,A1
AR_gpt-4o_12_24_467,A1
AR_gpt-4o_12_24_468,A1
AR_gpt-4o_12_24_469,A1
AR_gpt-4o_12_24_470,A1
AR_gpt-4o_12_24_471,A2
AR_gpt-4o_12_24_472,A2
AR_gpt-4o_12_24_473,A2
AR_gpt-4o_12_24_474,A2
AR_gpt-4o_12_24_475,A2
AR_gpt-4o_12_24_476,A2
AR_gpt-4o_12_24_477,A2
AR_gpt-4o_12_24_478,A2
AR_gpt-4o_12_24_479,A2
AR_gpt-4o_12_24_480,A2
AR_gpt-4o_13_25_481,A1
AR_gpt-4o_13_25_482,A1
AR_gpt-4o_13_25_483,A1
AR_gpt-4o_13_25_484,A1
AR_gpt-4o_13_25_485,A1
AR_gpt-4o_13_25_486,A1
AR_gpt-4o_13_25_487,A1
AR_gpt-4o_13_25_488,A1
AR_gpt-4o_13_25_489,A1
AR_gpt-4o_13_25_490,A1
AR_gpt-4o_13_25_491,A2
AR_gpt-4o_13_25_492,A2
AR_gpt-4o_13_25_493,A2
AR_gpt-4o_13_25_494,A2
AR_gpt-4o_13_25_495,A2
AR_gpt-4o_13_25_496,A2
AR_gpt-4o_13_25_497,A2
AR_gpt-4o_13_25_498,A2
AR_gpt-4o_13_25_499,A2
AR_gpt-4o_13_25_500,A2
AR_gpt-4o_14_26_501,A1
AR_gpt-4o_14_26_502,A1
AR_gpt-4o_14_26_503,A1
AR_gpt-4o_14_26_504,A1
AR_gpt-4o_14_26_505,A1
AR_gpt-4o_14_26_506,A1
AR_gpt-4o_14_26_507,A1
AR_gpt-4o_14_26_508,A1
AR_gpt-4o_14_26_509,A1
AR_gpt-4o_14_26_510,A1
AR_gpt-4o_14_26_511,A2
AR_gpt-4o_14_26_512,A2
AR_gpt-4o_14_26_513,A2
AR_gpt-4o_14_26_514,A2
AR_gpt-4o_14_26_515,A2
AR_gpt-4o_14_26_516,A2
AR_gpt-4o_14_26_517,A2
AR_gpt-4o_14_26_518,A2
AR_gpt-4o_14_26_519,A2
AR_gpt-4o_14_26_520,A2
AR_gpt-4o_15_27_521,A1
AR_gpt-4o_15_27_522,A1
AR_gpt-4o_15_27_523,A1
AR_gpt-4o_15_27_524,A1
AR_gpt-4o_15_27_525,A1
AR_gpt-4o_15_27_526,A1
AR_gpt-4o_15_27_527,A1
AR_gpt-4o_15_27_528,A1
AR_gpt-4o_15_27_529,A1
AR_gpt-4o_15_27_530,A1
AR_gpt-4o_15_27_531,A2
AR_gpt-4o_15_27_532,A2
AR_gpt-4o_15_27_533,A2
AR_gpt-4o_15_27_534,A2
AR_gpt-4o_15_27_535,A2
AR_gpt-4o_15_27_536,A2
AR_gpt-4o_15_27_537,A2
AR_gpt-4o_15_27_538,A2
AR_gpt-4o_15_27_539,A2
AR_gpt-4o_15_27_540,A2
AR_gpt-4o_15_28_541,A1
AR_gpt-4o_15_28_542,A1
AR_gpt-4o_15_28_543,A1
AR_gpt-4o_15_28_544,A1
AR_gpt-4o_15_28_545,A1
AR_gpt-4o_15_28_546,A1
AR_gpt-4o_15_28_547,A1
AR_gpt-4o_15_28_548,A1
AR_gpt-4o_15_28_549,A1
AR_gpt-4o_15_28_550,A1
AR_gpt-4o_15_28_551,A2
AR_gpt-4o_15_28_552,A2
AR_gpt-4o_15_28_553,A2
AR_gpt-4o_15_28_554,A2
AR_gpt-4o_15_28_555,A2
AR_gpt-4o_15_28_556,A2
AR_gpt-4o_15_28_557,A2
AR_gpt-4o_15_28_558,A2
AR_gpt-4o_15_28_559,A2
AR_gpt-4o_15_28_560,A2
AR_gpt-4o_10_29_561,A1
AR_gpt-4o_10_29_562,A1
AR_gpt-4o_10_29_563,A1
AR_gpt-4o_10_29_564,A1
AR_gpt-4o_10_29_565,A1
AR_gpt-4o_10_29_566,A1
AR_gpt-4o_10_29_567,A1
AR_gpt-4o_10_29_568,A1
AR_gpt-4o_10_29_569,A1
AR_gpt-4o_10_29_570,A1
AR_gpt-4o_10_29_571,A2
AR_gpt-4o_10_29_572,A2
AR_gpt-4o_10_29_573,A2
AR_gpt-4o_10_29_574,A2
AR_gpt-4o_10_29_575,A2
AR_gpt-4o_10_29_576,A2
AR_gpt-4o_10_29_577,A2
AR_gpt-4o_10_29_578,A2
AR_gpt-4o_10_29_579,A2
AR_gpt-4o_10_29_580,A2
AR_gpt-4o_12_30_581,A1
AR_gpt-4o_12_30_582,A1
AR_gpt-4o_12_30_583,A1
AR_gpt-4o_12_30_584,A1
AR_gpt-4o_12_30_585,A1
AR_gpt-4o_12_30_586,A1
AR_gpt-4o_12_30_587,A1
AR_gpt-4o_12_30_588,A1
AR_gpt-4o_12_30_589,A1
AR_gpt-4o_12_30_590,A1
AR_gpt-4o_12_30_591,A2
AR_gpt-4o_12_30_592,A2
AR_gpt-4o_12_30_593,A2
AR_gpt-4o_12_30_594,A2
AR_gpt-4o_12_30_595,A2
AR_gpt-4o_12_30_596,A2
AR_gpt-4o_12_30_597,A2
AR_gpt-4o_12_30_598,A2
AR_gpt-4o_12_30_599,A2
AR_gpt-4o_12_30_600,A2
AR_gpt-4o_1_31_601,A1
AR_gpt-4o_1_31_602,A1
AR_gpt-4o_1_31_603,A1
AR_gpt-4o_1_31_604,A1
AR_gpt-4o_1_31_605,A1
AR_gpt-4o_1_31_606,A1
AR_gpt-4o_1_31_607,A1
AR_gpt-4o_1_31_608,A1
AR_gpt-4o_1_31_609,A1
AR_gpt-4o_1_31_610,A1
AR_gpt-4o_1_31_611,A2
AR_gpt-4o_1_31_612,A2
AR_gpt-4o_1_31_613,A2
AR_gpt-4o_1_31_614,A2
AR_gpt-4o_1_31_615,A2
AR_gpt-4o_1_31_616,A2
AR_gpt-4o_1_31_617,A2
AR_gpt-4o_1_31_618,A2
AR_gpt-4o_1_31_619,A2
AR_gpt-4o_1_31_620,A2
AR_gpt-4o_2_32_621,A1
AR_gpt-4o_2_32_622,A1
AR_gpt-4o_2_32_623,A1
AR_gpt-4o_2_32_624,A1
AR_gpt-4o_2_32_625,A1
AR_gpt-4o_2_32_626,A1
AR_gpt-4o_2_32_627,A1
AR_gpt-4o_2_32_628,A1
AR_gpt-4o_2_32_629,A1
AR_gpt-4o_2_32_630,A1
AR_gpt-4o_2_32_631,A2
AR_gpt-4o_2_32_632,A2
AR_gpt-4o_2_32_633,A2
AR_gpt-4o_2_32_634,A2
AR_gpt-4o_2_32_635,A2
AR_gpt-4o_2_32_636,A2
AR_gpt-4o_2_32_637,A2
AR_gpt-4o_2_32_638,A2
AR_gpt-4o_2_32_639,A2
AR_gpt-4o_2_32_640,A2
AR_gpt-4o_3_33_641,A1
AR_gpt-4o_3_33_642,A1
AR_gpt-4o_3_33_643,A1
AR_gpt-4o_3_33_644,A1
AR_gpt-4o_3_33_645,A1
AR_gpt-4o_3_33_646,A1
AR_gpt-4o_3_33_647,A1
AR_gpt-4o_3_33_648,A1
AR_gpt-4o_3_33_649,A1
AR_gpt-4o_3_33_650,A1
AR_gpt-4o_3_33_651,A2
AR_gpt-4o_3_33_652,A2
AR_gpt-4o_3_33_653,A2
AR_gpt-4o_3_33_654,A2
AR_gpt-4o_3_33_655,A2
AR_gpt-4o_3_33_656,A2
AR_gpt-4o_3_33_657,A2
AR_gpt-4o_3_33_658,A2
AR_gpt-4o_3_33_659,A2
AR_gpt-4o_3_33_660,A2
AR_gpt-4o_16_34_661,A1
AR_gpt-4o_16_34_662,A1
AR_gpt-4o_16_34_663,A1
AR_gpt-4o_16_34_664,A1
AR_gpt-4o_16_34_665,A1
AR_gpt-4o_16_34_666,A1
AR_gpt-4o_16_34_667,A1
AR_gpt-4o_16_34_668,A1
AR_gpt-4o_16_34_669,A1
AR_gpt-4o_16_34_670,A1
AR_gpt-4o_16_34_671,A2
AR_gpt-4o_16_34_672,A2
AR_gpt-4o_16_34_673,A2
AR_gpt-4o_16_34_674,A2
AR_gpt-4o_16_34_675,A2
AR_gpt-4o_16_34_676,A2
AR_gpt-4o_16_34_677,A2
AR_gpt-4o_16_34_678,A2
AR_gpt-4o_16_34_679,A2
AR_gpt-4o_16_34_680,A2
AR_gpt-4o_3_35_681,A1
AR_gpt-4o_3_35_682,A1
AR_gpt-4o_3_35_683,A1
AR_gpt-4o_3_35_684,A1
AR_gpt-4o_3_35_685,A1
AR_gpt-4o_3_35_686,A1
AR_gpt-4o_3_35_687,A1
AR_gpt-4o_3_35_688,A1
AR_gpt-4o_3_35_689,A1
AR_gpt-4o_3_35_690,A1
AR_gpt-4o_3_35_691,A2
AR_gpt-4o_3_35_692,A2
AR_gpt-4o_3_35_693,A2
AR_gpt-4o_3_35_694,A2
AR_gpt-4o_3_35_695,A2
AR_gpt-4o_3_35_696,A2
AR_gpt-4o_3_35_697,A2
AR_gpt-4o_3_35_698,A2
AR_gpt-4o_3_35_699,A2
AR_gpt-4o_3_35_700,A2
AR_gpt-4o_10_36_701,A1
AR_gpt-4o_10_36_702,A1
AR_gpt-4o_10_36_703,A1
AR_gpt-4o_10_36_704,A1
AR_gpt-4o_10_36_705,A1
AR_gpt-4o_10_36_706,A1
AR_gpt-4o_10_36_707,A1
AR_gpt-4o_10_36_708,A1
AR_gpt-4o_10_36_709,A1
AR_gpt-4o_10_36_710,A1
AR_gpt-4o_10_36_711,A2
AR_gpt-4o_10_36_712,A2
AR_gpt-4o_10_36_713,A2
AR_gpt-4o_10_36_714,A2
AR_gpt-4o_10_36_715,A2
AR_gpt-4o_10_36_716,A2
AR_gpt-4o_10_36_717,A2
AR_gpt-4o_10_36_718,A2
AR_gpt-4o_10_36_719,A2
AR_gpt-4o_10_36_720,A2
AR_gpt-4o_9_37_721,A1
AR_gpt-4o_9_37_722,A1
AR_gpt-4o_9_37_723,A1
AR_gpt-4o_9_37_724,A1
AR_gpt-4o_9_37_725,A1
AR_gpt-4o_9_37_726,A1
AR_gpt-4o_9_37_727,A1
AR_gpt-4o_9_37_728,A1
AR_gpt-4o_9_37_729,A1
AR_gpt-4o_9_37_730,A1
AR_gpt-4o_9_37_731,A2
AR_gpt-4o_9_37_732,A2
AR_gpt-4o_9_37_733,A2
AR_gpt-4o_9_37_734,A2
AR_gpt-4o_9_37_735,A2
AR_gpt-4o_9_37_736,A2
